href,Topic ID,Date Posted,Total Comments,Total Interactions
https://linustechtips.com/topic/1381504-community-standards-updated/,1381504,"Oct 16, 2021, 11:45 AM",87.0,261
https://linustechtips.com/topic/1535078-tell-me-your-thoughts-on-its-pc-build/,1535078,"Oct 09, 2023, 03:24 PM",8.0,0
https://linustechtips.com/topic/1535081-used-power-supply-test/,1535081,"Oct 09, 2023, 03:52 PM",3.0,0
https://linustechtips.com/topic/1535079-shuld-i-buy-a-5800x3d-for-270-%E2%82%AC-or-should-i-put-my-msi-x370-gaming-pro-carbon-to-rest-next-year/,1535079,"Oct 09, 2023, 03:50 PM",5.0,0
https://linustechtips.com/topic/1535071-uk-headset-for-gaming/,1535071,"Oct 09, 2023, 02:17 PM",5.0,0
https://linustechtips.com/topic/1530917-small-help-on-buying-an-old-cpu-for-an-old-system/,1530917,"Sep 11, 2023, 03:20 PM",28.0,7
https://linustechtips.com/topic/1535060-what-cooler-should-i-buy-for-my-ryzen-5-3600/,1535060,"Oct 09, 2023, 12:52 PM",41.0,9
https://linustechtips.com/topic/1535053-ps2-controller-not-being-detected-on-windows-10/,1535053,"Oct 09, 2023, 11:40 AM",11.0,3
https://linustechtips.com/topic/1533927-ltt-official-folding-month-vi/,1533927,"Oct 01, 2023, 10:25 PM",131.0,217
https://linustechtips.com/topic/1535084-i-need-gaming-monitor-recommendations-please/,1535084,"Oct 09, 2023, 04:16 PM",2.0,0
https://linustechtips.com/topic/1534716-totally-random-computer-freezing-ryzen-3950x-stuck-at-05ghz/,1534716,"Oct 07, 2023, 05:04 AM",12.0,0
https://linustechtips.com/topic/1535051-4-displays-vs-rtx-4090/,1535051,"Oct 09, 2023, 11:30 AM",8.0,0
https://linustechtips.com/topic/1535021-differentiating-between-airflow-and-static-pressure-fans/,1535021,"Oct 09, 2023, 04:05 AM",7.0,2
https://linustechtips.com/topic/1534902-boot-partition-on-ssd-system-partition-on-hdd/,1534902,"Oct 08, 2023, 10:10 AM",10.0,5
https://linustechtips.com/topic/1535082-does-this-count-as-exotic-cooling/,1535082,"Oct 09, 2023, 03:52 PM",3.0,1
https://linustechtips.com/topic/1535030-water-set-mlz-d36m-a19pk-12/,1535030,"Oct 09, 2023, 07:28 AM",3.0,0
https://linustechtips.com/topic/1534842-13700k-running-very-hot-while-the-aio-is-cold/,1534842,"Oct 07, 2023, 09:40 PM",17.0,4
https://linustechtips.com/topic/1535066-felt-continuous-electricity-when-touched-dp-cable-metal-part-and-back-of-case/,1535066,"Oct 09, 2023, 01:33 PM",12.0,0
https://linustechtips.com/topic/1534156-synology-update-removes-even-more-features/,1534156,"Oct 03, 2023, 05:19 PM",19.0,25
